id,x,y,z,hit,net,bounce,time,shotId
1041158,11.381,0.745,2.932,1,0,0,1.152,377220
1041159,0.002,0.071,1.312,0,1,0,1.386,377220
1041160,-6.648,-0.377,0.037,0,0,1,1.549,377220
1041161,11.384,0.801,2.940,1,0,0,0.753,377221
1041162,0.014,-1.619,1.115,0,1,0,1.075,377221
1041163,-3.983,-2.703,0.037,0,0,1,1.214,377221
1041164,-10.844,-4.427,1.795,1,0,0,1.621,377222
1041165,-0.003,-2.032,2.413,0,1,0,2.137,377222
1041166,11.634,1.038,0.037,0,0,1,2.883,377222
1041167,14.708,1.965,1.038,1,0,0,3.297,377223
1041168,11.382,-0.862,2.906,1,0,0,0.093,377224
1041169,0.009,2.908,1.414,0,1,0,3.786,377223
1041170,0.008,0.390,1.346,0,1,0,0.388,377224
1041171,-6.831,3.361,0.037,0,0,1,4.079,377223
1041172,-5.844,0.708,0.037,0,0,1,0.571,377224
1041173,-13.814,3.650,1.170,1,0,0,4.586,377225
1041174,-11.974,0.976,1.482,1,0,0,0.882,377226
1041175,-0.010,0.629,1.172,0,1,0,5.126,377225
1041176,-0.005,0.599,2.243,0,1,0,1.473,377226
1041177,5.057,-0.579,0.037,0,0,1,5.378,377225
1041178,9.966,0.907,0.037,0,0,1,2.135,377226
1041179,11.843,-2.204,0.907,1,0,0,5.971,377227
1041180,12.793,1.232,0.974,1,0,0,2.552,377228
1041181,0.007,-3.036,1.498,0,1,0,6.457,377227
1041182,0.009,-1.190,1.048,0,1,0,3.000,377228
1041183,-7.092,-3.538,0.037,0,0,1,6.821,377227
1041184,-4.914,-2.222,0.037,0,0,1,3.218,377228
1041185,-14.397,-3.867,0.913,1,0,0,7.484,377229
1041186,-14.333,-4.255,0.715,1,0,0,3.889,377230
1041187,-0.005,-0.152,1.880,0,1,0,8.159,377229
1041188,-0.008,-2.587,1.991,0,1,0,4.659,377230
1041189,9.904,2.764,0.037,0,0,1,8.803,377229
1041190,8.722,-1.453,0.037,0,0,1,5.309,377230
1041191,12.698,3.695,0.756,1,0,0,9.157,377231
1041192,11.845,-0.966,0.823,1,0,0,5.825,377232
1041193,0.005,2.899,1.808,0,1,0,9.573,377231
