id,valid,tournamentCode,matchCode,feedId,setId,gameId,pointId,serveId,timeStamp,serverName,serverNumber,receiverName,receiverNumber,serverSide,serveClass,scorerName,scorerNumber,winner,winnerShotSpeed,gameScore,matchScore,rallyLength,pointDuration,serverDistance,receiverDistance,crewChange
109246,1,MS,MS501,299090,1,1,1,1,222656,DJOKOVIC,ATPD643,F.LOPEZ,ATPL397,POSITIVE,FAULT,F.LOPEZ,ATPL397,NOT LOGGED,0,00 00,0000000000,1,0.0,0.9,1.4,NULL
109247,1,MS,MS501,299091,1,1,1,2,222706,DJOKOVIC,ATPD643,F.LOPEZ,ATPL397,POSITIVE,RETURNED,DJOKOVIC,ATPD643,BACKHAND WINNER,76,00 00,0000000000,11,15.0,24.6,34.0,NULL
109254,1,MS,MS501,299098,1,1,2,1,222741,DJOKOVIC,ATPD643,F.LOPEZ,ATPL397,POSITIVE,FAULT,F.LOPEZ,ATPL397,NOT LOGGED,0,15 00,0000000000,1,0.0,0.8,1.5,NULL
109248,1,MS,MS501,299092,1,1,2,2,222751,DJOKOVIC,ATPD643,F.LOPEZ,ATPL397,POSITIVE,RETURNED,DJOKOVIC,ATPD643,BACKHAND UNFORCED,0,15 00,0000000000,8,10.0,16.3,23.1,NULL
109250,1,MS,MS501,299094,1,1,3,1,222819,DJOKOVIC,ATPD643,F.LOPEZ,ATPL397,POSITIVE,FAULT,F.LOPEZ,ATPL397,NOT LOGGED,0,30 00,0000000000,1,1.0,0.8,1.8,NULL
109251,1,MS,MS501,299095,1,1,3,2,222828,DJOKOVIC,ATPD643,F.LOPEZ,ATPL397,POSITIVE,RETURNED,F.LOPEZ,ATPL397,BACKHAND UNFORCED,0,30 00,0000000000,7,8.0,12.4,19.3,NULL
109255,1,MS,MS501,299099,1,1,4,1,222857,DJOKOVIC,ATPD643,F.LOPEZ,ATPL397,POSITIVE,RETURNED,F.LOPEZ,ATPL397,FOREHAND WINNER,92,30 15,0000000000,6,9.0,17.3,19.5,NULL
109253,1,MS,MS501,299097,1,1,5,1,222927,DJOKOVIC,ATPD643,F.LOPEZ,ATPL397,POSITIVE,FAULT,F.LOPEZ,ATPL397,NOT LOGGED,0,30 30,0000000000,1,2.0,1.3,2.0,NULL
109256,1,MS,MS501,299100,1,1,5,2,222939,DJOKOVIC,ATPD643,F.LOPEZ,ATPL397,POSITIVE,RETURNED,F.LOPEZ,ATPL397,BACKHAND WINNER,59,30 30,0000000000,8,13.0,18.3,30.2,NULL
109257,1,MS,MS501,299101,1,1,6,1,223018,DJOKOVIC,ATPD643,F.LOPEZ,ATPL397,POSITIVE,RETURNED,DJOKOVIC,ATPD643,BACKHAND UNFORCED,0,30 40,0000000000,4,5.0,9.0,10.8,NULL
109258,1,MS,MS501,299102,1,1,7,1,223042,DJOKOVIC,ATPD643,F.LOPEZ,ATPL397,POSITIVE,RETURNED,DJOKOVIC,ATPD643,FOREHAND WINNER,96,40 40,0000000000,9,14.0,21.3,32.0,NULL
109259,1,MS,MS501,299103,1,1,8,1,223115,DJOKOVIC,ATPD643,F.LOPEZ,ATPL397,POSITIVE,FAULT,F.LOPEZ,ATPL397,NOT LOGGED,0,AD 40,0000000000,1,0.0,0.8,1.4,NULL
109260,1,MS,MS501,299104,1,1,8,2,223125,DJOKOVIC,ATPD643,F.LOPEZ,ATPL397,POSITIVE,NOT RETURNED,DJOKOVIC,ATPD643,NOT LOGGED,0,AD 40,1000000000,2,2.0,2.3,2.4,NULL
109262,1,MS,MS501,299106,1,2,1,1,223217,F.LOPEZ,ATPL397,DJOKOVIC,ATPD643,POSITIVE,ACE,F.LOPEZ,ATPL397,NOT LOGGED,0,00 00,1000000000,1,0.0,1.0,1.8,NULL
109263,1,MS,MS501,299107,1,2,2,1,223233,F.LOPEZ,ATPL397,DJOKOVIC,ATPD643,POSITIVE,ACE,F.LOPEZ,ATPL397,NOT LOGGED,0,15 00,1000000000,1,0.0,0.8,0.8,NULL
109261,1,MS,MS501,299105,1,2,3,1,223248,F.LOPEZ,ATPL397,DJOKOVIC,ATPD643,POSITIVE,FAULT,DJOKOVIC,ATPD643,NOT LOGGED,0,30 00,1000000000,1,3.0,3.9,6.1,NULL
109264,1,MS,MS501,299108,1,2,3,2,223300,F.LOPEZ,ATPL397,DJOKOVIC,ATPD643,POSITIVE,RETURNED,DJOKOVIC,ATPD643,BACKHAND WINNER,73,30 00,1000000000,4,4.0,7.0,8.7,NULL
109266,1,MS,MS501,299110,1,2,4,1,223324,F.LOPEZ,ATPL397,DJOKOVIC,ATPD643,POSITIVE,FAULT,DJOKOVIC,ATPD643,NOT LOGGED,0,30 15,1000000000,1,1.0,1.1,0.8,NULL
109265,1,MS,MS501,299109,1,2,4,2,223332,F.LOPEZ,ATPL397,DJOKOVIC,ATPD643,POSITIVE,RETURNED,DJOKOVIC,ATPD643,NOT LOGGED,0,30 15,1000000000,6,9.0,22.8,24.8,NULL
109269,1,MS,MS501,299112,1,2,5,1,223408,F.LOPEZ,ATPL397,DJOKOVIC,ATPD643,POSITIVE,RETURNED,DJOKOVIC,ATPD643,FOREHAND WINNER,67,30 30,1000000000,2,2.0,4.5,5.5,NULL
