id,playerName,playerNumber,speed,shotType,spin,spinRpm,pointId,isServe,distance,result
377220,DJOKOVIC,ATPD643,120.37,NOT LOGGED,NOSPIN,0.00,109246,1,NULL,NULL
377221,DJOKOVIC,ATPD643,92.08,NOT LOGGED,NOSPIN,0.00,109247,1,NULL,NULL
377222,F.LOPEZ,ATPL397,55.43,NOT LOGGED,BACKSPIN,2375.07,109247,0,NULL,NULL
377223,DJOKOVIC,ATPD643,79.75,FOREHAND,TOPSPIN,3112.32,109247,0,NULL,NULL
377224,DJOKOVIC,ATPD643,98.21,NOT LOGGED,NOSPIN,0.00,109248,1,NULL,NULL
377225,F.LOPEZ,ATPL397,69.98,FOREHAND,TOPSPIN,2027.86,109247,0,NULL,NULL
377226,F.LOPEZ,ATPL397,53.60,BACKHAND,BACKSPIN,1916.75,109248,0,NULL,NULL
377227,DJOKOVIC,ATPD643,63.28,BACKHAND,TOPSPIN,2182.62,109247,0,NULL,NULL
377228,DJOKOVIC,ATPD643,76.81,FOREHAND,TOPSPIN,3296.20,109248,0,NULL,NULL
377229,F.LOPEZ,ATPL397,59.63,BACKHAND,BACKSPIN,2565.29,109247,0,NULL,NULL
377230,F.LOPEZ,ATPL397,51.70,BACKHAND,BACKSPIN,2764.35,109248,0,NULL,NULL
377231,DJOKOVIC,ATPD643,80.14,FOREHAND,TOPSPIN,3308.27,109247,0,NULL,NULL
377232,DJOKOVIC,ATPD643,80.79,FOREHAND,TOPSPIN,3623.77,109248,0,NULL,NULL
377234,F.LOPEZ,ATPL397,66.91,FOREHAND,TOPSPIN,2095.13,109247,0,NULL,NULL
377235,F.LOPEZ,ATPL397,75.98,FOREHAND,TOPSPIN,2159.19,109248,0,NULL,NULL
377236,DJOKOVIC,ATPD643,74.95,BACKHAND,TOPSPIN,2178.43,109247,0,NULL,NULL
377237,DJOKOVIC,ATPD643,76.39,FOREHAND,TOPSPIN,3386.41,109248,0,NULL,NULL
